cbsa_code,cbsa_title,principal_city,state
35620,New York-Newark-Jersey City NY-NJ-PA Metro Area,New York,NY
31080,Los Angeles-Long Beach-Anaheim CA Metro Area,Los Angeles,CA
16980,Chicago-Naperville-Elgin IL-IN-WI Metro Area,Chicago,IL
19100,Dallas-Fort Worth-Arlington TX Metro Area,Dallas,TX
26420,Houston-The Woodlands-Sugar Land TX Metro Area,Houston,TX
47900,Washington-Arlington-Alexandria DC-VA-MD-WV Metro Area,Washington,DC
37980,Philadelphia-Camden-Wilmington PA-NJ-DE-MD Metro Area,Philadelphia,PA
33100,Miami-Fort Lauderdale-Pompano Beach FL Metro Area,Miami,FL
12060,Atlanta-Sandy Springs-Roswell GA Metro Area,Atlanta,GA
14460,Boston-Cambridge-Newton MA-NH Metro Area,Boston,MA
41860,San Francisco-Oakland-Berkeley CA Metro Area,San Francisco,CA
38060,Phoenix-Mesa-Chandler AZ Metro Area,Phoenix,AZ
42660,Seattle-Tacoma-Bellevue WA Metro Area,Seattle,WA
19740,Denver-Aurora-Centennial CO Metro Area,Denver,CO
17140,Cincinnati OH-KY-IN Metro Area,Cincinnati,OH
