# onet_version=30.3  (O*NET Related Occupations + Occupation Data; public domain / CC-BY 4.0; regenerate with scripts/build_taxonomy_extra.py)
# format: soc_code<TAB>related_soc<TAB>tier<TAB>related_title
11-1011.00	11-1021.00	Primary-Short	General and Operations Managers
11-1011.00	13-1111.00	Primary-Short	Management Analysts
11-1011.00	11-3031.01	Primary-Short	Treasurers and Controllers
11-1011.00	11-9151.00	Primary-Short	Social and Community Service Managers
11-1011.00	11-2032.00	Primary-Short	Public Relations Managers
11-1011.00	11-9199.02	Primary-Long	Compliance Managers
11-1011.00	11-9033.00	Primary-Long	Education Administrators, Postsecondary
11-1011.00	11-1031.00	Primary-Long	Legislators
11-1011.00	11-3031.00	Primary-Long	Financial Managers
11-1011.00	11-1011.03	Primary-Long	Chief Sustainability Officers
11-1011.00	11-3012.00	Supplemental	Administrative Services Managers
11-1011.00	43-6011.00	Supplemental	Executive Secretaries and Executive Administrative Assistants
11-1011.00	43-1011.00	Supplemental	First-Line Supervisors of Office and Administrative Support Workers
11-1011.00	41-1012.00	Supplemental	First-Line Supervisors of Non-Retail Sales Workers
11-1011.00	11-3121.00	Supplemental	Human Resources Managers
11-1011.00	27-3031.00	Supplemental	Public Relations Specialists
11-1011.00	13-1075.00	Supplemental	Labor Relations Specialists
11-1011.00	13-2061.00	Supplemental	Financial Examiners
11-1011.00	43-6014.00	Supplemental	Secretaries and Administrative Assistants, Except Legal, Medical, and Executive
11-1011.00	11-2022.00	Supplemental	Sales Managers
11-1011.03	13-1199.05	Primary-Short	Sustainability Specialists
11-1011.03	19-2041.01	Primary-Short	Climate Change Policy Analysts
11-1011.03	19-2041.03	Primary-Short	Industrial Ecologists
11-1011.03	11-9199.10	Primary-Short	Wind Energy Development Managers
11-1011.03	19-2041.00	Primary-Short	Environmental Scientists and Specialists, Including Health
11-1011.03	19-3051.00	Primary-Long	Urban and Regional Planners
11-1011.03	11-9199.11	Primary-Long	Brownfield Redevelopment Specialists and Site Managers
11-1011.03	19-2041.02	Primary-Long	Environmental Restoration Planners
11-1011.03	19-1031.00	Primary-Long	Conservation Scientists
11-1011.03	11-1011.00	Primary-Long	Chief Executives
11-1011.03	13-1082.00	Supplemental	Project Management Specialists
11-1011.03	13-1111.00	Supplemental	Management Analysts
11-1011.03	17-2081.00	Supplemental	Environmental Engineers
11-1011.03	11-9199.02	Supplemental	Compliance Managers
11-1011.03	47-4011.01	Supplemental	Energy Auditors
11-1011.03	15-1299.09	Supplemental	Information Technology Project Managers
11-1011.03	19-3011.01	Supplemental	Environmental Economists
11-1011.03	11-9121.02	Supplemental	Water Resource Specialists
11-1011.03	25-1053.00	Supplemental	Environmental Science Teachers, Postsecondary
